seas,year,total,anom,seas_idx
MAM,2023,27.82,0.19,3
AMJ,2023,28.25,0.46,4
MJJ,2023,28.36,0.73,5
JJA,2023,28.29,1.0,6
JAS,2023,28.21,1.25,7
ASO,2023,28.26,1.5,8
SON,2023,28.45,1.74,9
OND,2023,28.55,1.9,10
NDJ,2023,28.55,1.99,11
DJF,2024,28.38,1.84,0
JFM,2024,28.3,1.53,1
FMA,2024,28.4,1.18,2
MAM,2024,28.4,0.77,3
AMJ,2024,28.23,0.43,4
MJJ,2024,27.8,0.18,5
JJA,2024,27.35,0.06,6
JAS,2024,26.92,-0.04,7
ASO,2024,26.64,-0.12,8
SON,2024,26.52,-0.19,9
OND,2024,26.35,-0.29,10
NDJ,2024,26.13,-0.43,11
DJF,2025,26.09,-0.46,0
JFM,2025,26.56,-0.22,1
FMA,2025,27.15,-0.08,2
MAM,2025,27.65,0.02,3
AMJ,2025,27.76,-0.04,4
MJJ,2025,27.61,-0.02,5
JJA,2025,27.18,-0.11,6
JAS,2025,26.7,-0.26,7
ASO,2025,26.33,-0.43,8
SON,2025,26.14,-0.57,9
OND,2025,26.04,-0.61,10
NDJ,2025,25.96,-0.6,11
DJF,2026,26.15,-0.39,0
JFM,2026,26.57,-0.21,1
FMA,2026,27.34,0.11,2
MAM,2026,28.09,0.46,3
AMJ,2026,28.74,0.95,4
MJJ,2026,29.02,1.39,5
JJA,2026,29.09,1.8,6
