level,unit,season,metric,variant,g1,g2,n1,n2,diff,ci_lo,ci_hi,p_perm,p_welch,p_mwu,cohen_d
site,fmi_100971,DJF,precip,anom,lanina,neutral,25,29,22.2677,-4.3771,47.2762,0.0988,0.1031,0.0225,0.4562
site,fmi_100971,DJF,precip,anom_dt,super,elnino,3,20,13.3601,-35.3058,62.0261,0.5809,0.4788,0.6347,0.3480
site,fmi_100971,DJF,precip,anom_dt,super,neutral,3,29,8.2293,-40.3605,56.8192,0.7620,0.6550,0.6685,0.1776
site,fmi_100971,DJF,precip,anom_dt,elnino,neutral,20,29,-5.1308,-29.2912,18.3839,0.6885,0.6830,0.8787,-0.1155
site,fmi_100971,DJF,precip,anom_dt,super,lanina,3,25,-13.2579,-60.8721,34.3563,0.6731,0.4926,0.3138,-0.2686
site,fmi_100971,DJF,precip,anom_dt,lanina,neutral,25,29,21.4872,-4.8785,46.9405,0.1112,0.1168,0.0264,0.4379
site,fmi_100971,DJF,precip_days,value,super,elnino,3,20,5.4000,-9.4294,20.2294,0.2344,0.3121,0.4638,0.7506
site,fmi_100971,DJF,precip_days,value,super,neutral,3,29,5.8276,-9.3910,21.0462,0.2368,0.2825,0.2854,0.7661
site,fmi_100971,DJF,precip_days,value,elnino,neutral,20,29,0.4276,-3.8087,4.5692,0.8472,0.8433,0.6837,0.0572
site,fmi_100971,DJF,precip_days,value,super,lanina,3,25,2.7600,-11.6387,17.1587,0.6501,0.5796,0.8524,0.3050
site,fmi_100971,DJF,precip_days,value,lanina,neutral,25,29,3.0676,-1.4209,7.4676,0.1900,0.1933,0.1222,0.3652
site,fmi_100971,DJF,precip_days,anom,super,elnino,3,20,5.4000,-9.4294,20.2294,0.2376,0.3121,0.4638,0.7506
site,fmi_100971,DJF,precip_days,anom,super,neutral,3,29,5.8276,-9.3910,21.0462,0.2402,0.2825,0.2854,0.7661
site,fmi_100971,DJF,precip_days,anom,elnino,neutral,20,29,0.4276,-3.6552,4.4627,0.8448,0.8433,0.6837,0.0572
site,fmi_100971,DJF,precip_days,anom,super,lanina,3,25,2.7600,-11.6387,17.1587,0.6545,0.5796,0.8524,0.3050
site,fmi_100971,DJF,precip_days,anom,lanina,neutral,25,29,3.0676,-1.3849,7.5008,0.1904,0.1933,0.1222,0.3652
site,fmi_100971,DJF,precip_days,anom_dt,super,elnino,3,20,5.5225,-9.8379,20.8829,0.2312,0.3151,0.4574,0.7602
site,fmi_100971,DJF,precip_days,anom_dt,super,neutral,3,29,6.0499,-9.7688,21.8686,0.1928,0.2799,0.2863,0.8033
site,fmi_100971,DJF,precip_days,anom_dt,elnino,neutral,20,29,0.5274,-3.6509,4.6528,0.8072,0.8072,0.6619,0.0709
site,fmi_100971,DJF,precip_days,anom_dt,super,lanina,3,25,2.8707,-12.0734,17.8149,0.6143,0.5754,0.8339,0.3169
site,fmi_100971,DJF,precip_days,anom_dt,lanina,neutral,25,29,3.1792,-1.1724,7.4972,0.1628,0.1759,0.1105,0.3806
site,fmi_100971,DJF,rain_on_snow_days,value,super,elnino,3,20,6.2461,1.1693,11.3228,0.0204,0.0270,0.0600,1.4604
site,fmi_100971,DJF,rain_on_snow_days,value,super,neutral,3,29,5.6164,0.3405,10.8924,0.0382,0.0426,0.0478,1.3351
site,fmi_100971,DJF,rain_on_snow_days,value,elnino,neutral,20,29,-0.6296,-2.9274,1.8250,0.6379,0.6225,0.6602,-0.1449
site,fmi_100971,DJF,rain_on_snow_days,value,super,lanina,3,25,5.0400,-0.3407,10.4207,0.0320,0.0586,0.0401,1.4042
site,fmi_100971,DJF,rain_on_snow_days,value,lanina,neutral,25,29,0.5764,-1.4678,2.5936,0.6051,0.5966,0.5308,0.1436
site,fmi_100971,DJF,rain_on_snow_days,anom,super,elnino,3,20,6.2461,1.1694,11.3228,0.0252,0.0270,0.0600,1.4605
site,fmi_100971,DJF,rain_on_snow_days,anom,super,neutral,3,29,5.6164,0.3405,10.8924,0.0396,0.0426,0.0478,1.3351
site,fmi_100971,DJF,rain_on_snow_days,anom,elnino,neutral,20,29,-0.6297,-2.9805,1.8235,0.6231,0.6225,0.6602,-0.1449
site,fmi_100971,DJF,rain_on_snow_days,anom,super,lanina,3,25,5.0400,-0.3407,10.4207,0.0322,0.0586,0.0401,1.4042
site,fmi_100971,DJF,rain_on_snow_days,anom,lanina,neutral,25,29,0.5764,-1.5189,2.7370,0.6123,0.5966,0.5308,0.1436
site,fmi_100971,DJF,rain_on_snow_days,anom_dt,super,elnino,3,20,6.0129,0.9628,11.0629,0.0210,0.0301,0.0599,1.4531
site,fmi_100971,DJF,rain_on_snow_days,anom_dt,super,neutral,3,29,5.1933,0.0106,10.3760,0.0554,0.0497,0.0496,1.1974
site,fmi_100971,DJF,rain_on_snow_days,anom_dt,elnino,neutral,20,29,-0.8195,-3.1381,1.6698,0.5171,0.5190,0.5085,-0.1877
site,fmi_100971,DJF,rain_on_snow_days,anom_dt,super,lanina,3,25,4.8293,-0.5418,10.2003,0.0298,0.0643,0.0189,1.4008
site,fmi_100971,DJF,rain_on_snow_days,anom_dt,lanina,neutral,25,29,0.3641,-1.7121,2.4594,0.7405,0.7378,0.5210,0.0903
site,fmi_100971,DJF,snow_cover_days,value,super,elnino,3,20,-2.7948,-30.1690,24.5795,0.8292,0.7819,0.7149,-0.1365
site,fmi_100971,DJF,snow_cover_days,value,super,neutral,3,29,-9.5799,-38.6767,19.5170,0.4153,0.3615,0.2310,-0.5124
site,fmi_100971,DJF,snow_cover_days,value,elnino,neutral,20,29,-6.7851,-18.6410,4.4078,0.2553,0.2556,0.2103,-0.3420
site,fmi_100971,DJF,snow_cover_days,value,super,lanina,3,25,-6.1067,-35.3718,23.1585,0.5775,0.5408,0.5035,-0.3598
site,fmi_100971,DJF,snow_cover_days,value,lanina,neutral,25,29,-3.4732,-13.1212,5.9289,0.4867,0.4839,0.2934,-0.1910
site,fmi_100971,DJF,snow_cover_days,anom,super,elnino,3,20,-2.7948,-30.1690,24.5795,0.8320,0.7819,0.7149,-0.1365
site,fmi_100971,DJF,snow_cover_days,anom,super,neutral,3,29,-9.5799,-38.6767,19.5170,0.4183,0.3615,0.2310,-0.5124
site,fmi_100971,DJF,snow_cover_days,anom,elnino,neutral,20,29,-6.7851,-18.8872,4.4933,0.2547,0.2556,0.2103,-0.3420
site,fmi_100971,DJF,snow_cover_days,anom,super,lanina,3,25,-6.1067,-35.3718,23.1585,0.5645,0.5408,0.5035,-0.3598
site,fmi_100971,DJF,snow_cover_days,anom,lanina,neutral,25,29,-3.4732,-13.0652,6.3448,0.4891,0.4839,0.2934,-0.1910
site,fmi_100971,DJF,snow_cover_days,anom_dt,super,elnino,3,20,-0.4183,-26.2820,25.4453,0.9776,0.9655,0.9656,-0.0204
site,fmi_100971,DJF,snow_cover_days,anom_dt,super,neutral,3,29,-5.2705,-33.1983,22.6572,0.6425,0.5774,0.6238,-0.3034
site,fmi_100971,DJF,snow_cover_days,anom_dt,elnino,neutral,20,29,-4.8522,-16.0367,6.1932,0.3897,0.4047,0.3986,-0.2536
site,fmi_100971,DJF,snow_cover_days,anom_dt,super,lanina,3,25,-3.9599,-32.0711,24.1514,0.6639,0.6705,0.4774,-0.2519
site,fmi_100971,DJF,snow_cover_days,anom_dt,lanina,neutral,25,29,-1.3107,-9.7372,7.5184,0.7740,0.7751,0.4662,-0.0778
site,fmi_100971,DJF,snow_depth,value,super,elnino,3,20,-8.1337,-14.2286,-2.0388,0.2761,0.0114,0.3094,-0.6678
site,fmi_100971,DJF,snow_depth,value,super,neutral,3,29,-11.2991,-16.0633,-6.5350,0.1190,0.0000,0.1105,-0.9636
site,fmi_100971,DJF,snow_depth,value,elnino,neutral,20,29,-3.1655,-9.9276,4.1109,0.3877,0.3901,0.3442,-0.2551
site,fmi_100971,DJF,snow_depth,value,super,lanina,3,25,-7.7819,-12.3298,-3.2339,0.2014,0.0016,0.0897,-0.7607
site,fmi_100971,DJF,snow_depth,value,lanina,neutral,25,29,-3.5173,-9.2147,2.5570,0.2661,0.2617,0.2279,-0.3066
site,fmi_100971,DJF,snow_depth,anom,super,elnino,3,20,-8.1336,-14.2286,-2.0387,0.2701,0.0114,0.3094,-0.6678
site,fmi_100971,DJF,snow_depth,anom,super,neutral,3,29,-11.2991,-16.0632,-6.5350,0.1182,0.0000,0.1105,-0.9636
site,fmi_100971,DJF,snow_depth,anom,elnino,neutral,20,29,-3.1655,-10.0469,3.8556,0.3827,0.3901,0.3442,-0.2551
site,fmi_100971,DJF,snow_depth,anom,super,lanina,3,25,-7.7819,-12.3298,-3.2340,0.2028,0.0016,0.0897,-0.7607
site,fmi_100971,DJF,snow_depth,anom,lanina,neutral,25,29,-3.5172,-9.3407,2.3869,0.2661,0.2617,0.2279,-0.3066
site,fmi_100971,DJF,snow_depth,anom_dt,super,elnino,3,20,-6.6973,-13.0908,-0.3039,0.3817,0.0410,0.5138,-0.5624
site,fmi_100971,DJF,snow_depth,anom_dt,super,neutral,3,29,-8.6945,-13.8517,-3.5373,0.2220,0.0023,0.2319,-0.7873
site,fmi_100971,DJF,snow_depth,anom_dt,elnino,neutral,20,29,-1.9971,-8.5151,5.3809,0.5725,0.5725,0.4217,-0.1683
site,fmi_100971,DJF,snow_depth,anom_dt,super,lanina,3,25,-6.4842,-11.5706,-1.3979,0.2226,0.0155,0.2186,-0.6539
site,fmi_100971,DJF,snow_depth,anom_dt,lanina,neutral,25,29,-2.2103,-7.8338,3.5076,0.4665,0.4581,0.4453,-0.2025
site,fmi_100971,DJF,snow_max,value,super,elnino,3,20,-13.1500,-28.2652,1.9652,0.3171,0.0795,0.2933,-0.6514
site,fmi_100971,DJF,snow_max,value,super,neutral,3,29,-16.5862,-31.2909,-1.8815,0.1344,0.0341,0.1058,-0.9432
site,fmi_100971,DJF,snow_max,value,elnino,neutral,20,29,-3.4362,-14.4984,7.9749,0.5485,0.5562,0.5150,-0.1776
site,fmi_100971,DJF,snow_max,value,super,lanina,3,25,-14.6800,-29.4084,0.0484,0.1602,0.0505,0.0872,-0.9075
site,fmi_100971,DJF,snow_max,value,lanina,neutral,25,29,-1.9062,-10.9340,7.1768,0.6909,0.6889,0.5905,-0.1092
site,fmi_100971,DJF,snow_max,anom,super,elnino,3,20,-13.1500,-28.2652,1.9652,0.3201,0.0795,0.2933,-0.6514
site,fmi_100971,DJF,snow_max,anom,super,neutral,3,29,-16.5862,-31.2909,-1.8815,0.1322,0.0341,0.1058,-0.9432
site,fmi_100971,DJF,snow_max,anom,elnino,neutral,20,29,-3.4362,-14.7161,7.7090,0.5311,0.5562,0.5150,-0.1776
site,fmi_100971,DJF,snow_max,anom,super,lanina,3,25,-14.6800,-29.4084,0.0484,0.1684,0.0505,0.0872,-0.9075
site,fmi_100971,DJF,snow_max,anom,lanina,neutral,25,29,-1.9062,-10.8059,7.2812,0.6981,0.6889,0.5905,-0.1092
site,fmi_100971,DJF,snow_max,anom_dt,super,elnino,3,20,-10.7447,-33.7537,12.2643,0.4185,0.2664,0.3546,-0.5365
site,fmi_100971,DJF,snow_max,anom_dt,super,neutral,3,29,-12.2246,-37.1689,12.7197,0.2262,0.2109,0.1637,-0.7530
site,fmi_100971,DJF,snow_max,anom_dt,elnino,neutral,20,29,-1.4799,-11.6664,9.4743,0.7820,0.7912,0.6182,-0.0808
site,fmi_100971,DJF,snow_max,anom_dt,super,lanina,3,25,-12.5072,-37.3163,12.3019,0.2038,0.2031,0.1917,-0.8091
site,fmi_100971,DJF,snow_max,anom_dt,lanina,neutral,25,29,0.2826,-8.2342,8.8766,0.9514,0.9489,0.9862,0.0175
site,fmi_100971,DJF,thaw_days,value,super,elnino,3,20,11.5000,0.2667,22.7333,0.3893,0.0454,0.3852,0.5853
site,fmi_100971,DJF,thaw_days,value,super,neutral,3,29,17.0690,7.7075,26.4305,0.1182,0.0019,0.1366,0.9743
site,fmi_100971,DJF,thaw_days,value,elnino,neutral,20,29,5.5690,-4.9484,16.4483,0.3183,0.3350,0.5083,0.2909
site,fmi_100971,DJF,thaw_days,value,super,lanina,3,25,11.3600,2.0293,20.6907,0.2673,0.0215,0.1689,0.7128
site,fmi_100971,DJF,thaw_days,value,lanina,neutral,25,29,5.7090,-3.3328,14.9344,0.2384,0.2314,0.2936,0.3283
site,fmi_100971,DJF,thaw_days,anom,super,elnino,3,20,11.5000,0.2667,22.7333,0.3751,0.0454,0.3852,0.5853
site,fmi_100971,DJF,thaw_days,anom,super,neutral,3,29,17.0690,7.7075,26.4305,0.1348,0.0019,0.1366,0.9743
site,fmi_100971,DJF,thaw_days,anom,elnino,neutral,20,29,5.5690,-5.3104,16.6414,0.3189,0.3350,0.5083,0.2909
site,fmi_100971,DJF,thaw_days,anom,super,lanina,3,25,11.3600,2.0293,20.6907,0.2543,0.0215,0.1689,0.7128
site,fmi_100971,DJF,thaw_days,anom,lanina,neutral,25,29,5.7090,-3.3353,14.7711,0.2292,0.2314,0.2936,0.3283
site,fmi_100971,DJF,thaw_days,anom_dt,super,elnino,3,20,9.1734,-1.9805,20.3272,0.4489,0.0995,0.5138,0.4963
site,fmi_100971,DJF,thaw_days,anom_dt,super,neutral,3,29,12.8502,3.1191,22.5814,0.2242,0.0152,0.2581,0.7664
site,fmi_100971,DJF,thaw_days,anom_dt,elnino,neutral,20,29,3.6768,-6.3017,13.8645,0.4871,0.4994,0.4702,0.2024
site,fmi_100971,DJF,thaw_days,anom_dt,super,lanina,3,25,9.2583,-0.5021,19.0186,0.3311,0.0604,0.2479,0.5964
site,fmi_100971,DJF,thaw_days,anom_dt,lanina,neutral,25,29,3.5920,-5.1262,12.3946,0.4281,0.4333,0.4987,0.2144
site,fmi_100971,DJF,tmax_mean,value,super,elnino,3,20,1.6112,0.1375,3.0849,0.3845,0.0336,0.6979,0.5699
site,fmi_100971,DJF,tmax_mean,value,super,neutral,3,29,2.0852,1.0506,3.1198,0.1352,0.0004,0.0823,0.9323
site,fmi_100971,DJF,tmax_mean,value,elnino,neutral,20,29,0.4740,-1.0439,2.0100,0.5385,0.5528,0.4956,0.1825
site,fmi_100971,DJF,tmax_mean,value,super,lanina,3,25,1.5033,0.4236,2.5829,0.2669,0.0088,0.1447,0.6879
site,fmi_100971,DJF,tmax_mean,value,lanina,neutral,25,29,0.5819,-0.6240,1.7820,0.3517,0.3562,0.3489,0.2537
site,fmi_100971,DJF,tmax_mean,anom,super,elnino,3,20,1.6111,0.1372,3.0850,0.3839,0.0336,0.6979,0.5699
site,fmi_100971,DJF,tmax_mean,anom,super,neutral,3,29,2.0852,1.0504,3.1200,0.1302,0.0004,0.0823,0.9323
site,fmi_100971,DJF,tmax_mean,anom,elnino,neutral,20,29,0.4741,-1.0445,1.9599,0.5315,0.5527,0.4956,0.1825
site,fmi_100971,DJF,tmax_mean,anom,super,lanina,3,25,1.5032,0.4234,2.5830,0.2685,0.0088,0.1447,0.6879
site,fmi_100971,DJF,tmax_mean,anom,lanina,neutral,25,29,0.5821,-0.6518,1.7399,0.3575,0.3561,0.3489,0.2538
site,fmi_100971,DJF,tmax_mean,anom_dt,super,elnino,3,20,1.2694,-0.6729,3.2118,0.4679,0.1716,0.6347,0.4727
site,fmi_100971,DJF,tmax_mean,anom_dt,super,neutral,3,29,1.4654,-0.4127,3.3435,0.2713,0.0983,0.3165,0.6960
site,fmi_100971,DJF,tmax_mean,anom_dt,elnino,neutral,20,29,0.1959,-1.2160,1.6008,0.7870,0.7941,0.6767,0.0802
site,fmi_100971,DJF,tmax_mean,anom_dt,super,lanina,3,25,1.1943,-0.6744,3.0631,0.3547,0.1591,0.3138,0.5735
site,fmi_100971,DJF,tmax_mean,anom_dt,lanina,neutral,25,29,0.2710,-0.8611,1.4162,0.6467,0.6469,0.7027,0.1257
site,fmi_100971,DJF,tmean,value,super,elnino,3,20,1.5633,0.0245,3.1021,0.4259,0.0468,0.8300,0.5064
site,fmi_100971,DJF,tmean,value,super,neutral,3,29,2.1509,1.1383,3.1635,0.1540,0.0001,0.1637,0.8664
site,fmi_100971,DJF,tmean,value,elnino,neutral,20,29,0.5876,-1.0652,2.2223,0.4713,0.5031,0.4578,0.2054
site,fmi_100971,DJF,tmean,value,super,lanina,3,25,1.4850,0.3979,2.5720,0.3277,0.0093,0.2796,0.6044
site,fmi_100971,DJF,tmean,value,lanina,neutral,25,29,0.6659,-0.6726,1.9917,0.3409,0.3454,0.3185,0.2598
site,fmi_100971,DJF,tmean,anom,super,elnino,3,20,1.5633,0.0244,3.1022,0.4159,0.0468,0.8300,0.5064
site,fmi_100971,DJF,tmean,anom,super,neutral,3,29,2.1508,1.1381,3.1635,0.1626,0.0002,0.1637,0.8663
site,fmi_100971,DJF,tmean,anom,elnino,neutral,20,29,0.5875,-1.0226,2.2480,0.4847,0.5031,0.4578,0.2053
site,fmi_100971,DJF,tmean,anom,super,lanina,3,25,1.4849,0.3978,2.5720,0.3265,0.0093,0.2796,0.6044
site,fmi_100971,DJF,tmean,anom,lanina,neutral,25,29,0.6659,-0.7165,1.9730,0.3497,0.3454,0.3185,0.2598
site,fmi_100971,DJF,tmean,anom_dt,super,elnino,3,20,1.2020,-0.4701,2.8742,0.5267,0.1477,0.6347,0.4079
site,fmi_100971,DJF,tmean,anom_dt,super,neutral,3,29,1.4958,0.1677,2.8239,0.3053,0.0310,0.3163,0.6363
site,fmi_100971,DJF,tmean,anom_dt,elnino,neutral,20,29,0.2938,-1.1969,1.8812,0.7067,0.7240,0.6472,0.1082
site,fmi_100971,DJF,tmean,anom_dt,super,lanina,3,25,1.1585,-0.2089,2.5260,0.4189,0.0891,0.3907,0.4955
