level,unit,season,metric,variant,group,n,mean,median,sd,ci_lo,ci_hi
site,fmi_100971,DJF,rain_on_snow_days,anom,super,3,4.9270,3.9270,2.6458,-1.6454,11.4994
site,fmi_100971,DJF,rain_on_snow_days,anom,elnino,20,-1.3191,-3.0730,4.4135,-3.1691,0.6809
site,fmi_100971,DJF,rain_on_snow_days,anom,neutral,29,-0.6894,-1.0170,4.2965,-2.1381,0.9010
site,fmi_100971,DJF,rain_on_snow_days,anom,lanina,25,-0.1130,-1.0730,3.6570,-1.3940,1.4070
site,fmi_100971,DJF,rain_on_snow_days,anom_dt,super,3,5.0857,3.6400,2.6218,-1.4271,11.5985
site,fmi_100971,DJF,rain_on_snow_days,anom_dt,elnino,20,-0.9272,-2.2180,4.2662,-2.6606,0.9772
site,fmi_100971,DJF,rain_on_snow_days,anom_dt,neutral,29,-0.1077,-0.5740,4.4343,-1.6270,1.5199
site,fmi_100971,DJF,rain_on_snow_days,anom_dt,lanina,25,0.2564,-0.3110,3.5076,-1.0362,1.6048
site,fmi_100971,DJF,snow_cover_days,value,super,3,62.3333,58.0000,14.0119,27.5258,97.1408
site,fmi_100971,DJF,snow_cover_days,value,elnino,20,65.1281,70.5000,21.0377,55.7062,73.5500
site,fmi_100971,DJF,snow_cover_days,value,neutral,29,71.9132,78.0000,18.9859,64.9281,78.2418
site,fmi_100971,DJF,snow_cover_days,value,lanina,25,68.4400,70.0000,17.1976,61.5600,74.9600
site,fmi_100971,DJF,snow_cover_days,anom,super,3,0.6653,-3.6680,14.0119,-34.1422,35.4728
site,fmi_100971,DJF,snow_cover_days,anom,elnino,20,3.4601,8.8320,21.0377,-6.1842,12.0606
site,fmi_100971,DJF,snow_cover_days,anom,neutral,29,10.2452,16.3320,18.9859,2.9004,16.8841
site,fmi_100971,DJF,snow_cover_days,anom,lanina,25,6.7720,8.3320,17.1976,-0.4290,13.0930
site,fmi_100971,DJF,snow_cover_days,anom_dt,super,3,-3.3793,-10.1730,13.3670,-36.5847,29.8260
site,fmi_100971,DJF,snow_cover_days,anom_dt,elnino,20,-2.9610,-0.6865,21.1690,-12.5916,6.0271
site,fmi_100971,DJF,snow_cover_days,anom_dt,neutral,29,1.8912,5.6060,17.6232,-4.7579,7.9675
site,fmi_100971,DJF,snow_cover_days,anom_dt,lanina,25,0.5805,4.1460,15.9015,-5.5823,6.3961
site,fmi_100971,DJF,snow_depth,value,super,3,7.2883,7.4110,1.0454,4.6914,9.8853
site,fmi_100971,DJF,snow_depth,value,elnino,20,15.4220,13.9390,12.7997,10.5411,21.2305
site,fmi_100971,DJF,snow_depth,value,neutral,29,18.5875,18.0670,12.1345,14.4165,23.0719
site,fmi_100971,DJF,snow_depth,value,lanina,25,15.0702,12.1560,10.6430,11.4639,19.4839
site,fmi_100971,DJF,snow_depth,anom,super,3,-4.8073,-4.6840,1.0455,-7.4044,-2.2102
site,fmi_100971,DJF,snow_depth,anom,elnino,20,3.3263,1.8435,12.7997,-1.6874,9.2675
site,fmi_100971,DJF,snow_depth,anom,neutral,29,6.4918,5.9710,12.1344,2.3189,11.1457
site,fmi_100971,DJF,snow_depth,anom,lanina,25,2.9746,0.0600,10.6429,-0.7479,7.5131
site,fmi_100971,DJF,snow_depth,anom_dt,super,3,-7.1193,-6.3020,2.1697,-12.5092,-1.7295
site,fmi_100971,DJF,snow_depth,anom_dt,elnino,20,-0.4220,-2.6995,12.5006,-5.4060,5.4384
site,fmi_100971,DJF,snow_depth,anom_dt,neutral,29,1.5751,-0.3320,11.4168,-2.4684,5.7226
site,fmi_100971,DJF,snow_depth,anom_dt,lanina,25,-0.6351,-2.3790,10.3026,-4.2554,3.6575
site,fmi_100971,DJF,snow_max,value,super,3,23.0000,19.0000,7.8102,3.5983,42.4017
site,fmi_100971,DJF,snow_max,value,elnino,20,36.1500,29.5000,21.0720,27.4488,45.7500
site,fmi_100971,DJF,snow_max,value,neutral,29,39.5862,40.0000,18.0822,33.1379,45.8966
site,fmi_100971,DJF,snow_max,value,lanina,25,37.6800,35.0000,16.6851,31.4800,44.1610
site,fmi_100971,DJF,snow_max,anom,super,3,-7.3330,-11.3330,7.8102,-26.7347,12.0687
site,fmi_100971,DJF,snow_max,anom,elnino,20,5.8170,-0.8330,21.0720,-2.9330,14.9183
site,fmi_100971,DJF,snow_max,anom,neutral,29,9.2532,9.6670,18.0822,2.8386,16.0118
site,fmi_100971,DJF,snow_max,anom,lanina,25,7.3470,4.6670,16.6851,1.5070,13.7080
site,fmi_100971,DJF,snow_max,anom_dt,super,3,-11.4557,-15.7260,12.0415,-41.3683,18.4570
site,fmi_100971,DJF,snow_max,anom_dt,elnino,20,-0.7110,-7.3605,20.6880,-8.8828,8.5499
site,fmi_100971,DJF,snow_max,anom_dt,neutral,29,0.7689,-0.9690,16.4938,-5.1584,6.8052
site,fmi_100971,DJF,snow_max,anom_dt,lanina,25,1.0515,-4.2130,15.7087,-4.9202,6.9555
site,fmi_100971,DJF,thaw_days,value,super,3,59.0000,60.0000,4.5826,47.6163,70.3837
site,fmi_100971,DJF,thaw_days,value,elnino,20,47.5000,48.5000,20.6028,38.7500,56.5513
site,fmi_100971,DJF,thaw_days,value,neutral,29,41.9310,43.0000,18.0929,35.6207,48.3802
site,fmi_100971,DJF,thaw_days,value,lanina,25,47.6400,49.0000,16.5350,41.2000,53.8400
site,fmi_100971,DJF,thaw_days,anom,super,3,6.0330,7.0330,4.5826,-5.3507,17.4167
site,fmi_100971,DJF,thaw_days,anom,elnino,20,-5.4670,-4.4670,20.6028,-14.1670,3.3343
site,fmi_100971,DJF,thaw_days,anom,neutral,29,-11.0360,-9.9670,18.0929,-17.3127,-4.4153
site,fmi_100971,DJF,thaw_days,anom,lanina,25,-5.3270,-3.9670,16.5350,-11.7270,1.0340
site,fmi_100971,DJF,thaw_days,anom_dt,super,3,10.2283,9.7840,4.9754,-2.1313,22.5879
site,fmi_100971,DJF,thaw_days,anom_dt,elnino,20,1.0550,4.7575,19.3632,-7.2711,9.1961
site,fmi_100971,DJF,thaw_days,anom_dt,neutral,29,-2.6219,-1.0660,17.3048,-8.8050,3.6265
site,fmi_100971,DJF,thaw_days,anom_dt,lanina,25,0.9701,-0.3860,16.0940,-5.0212,7.0103
site,fmi_100971,DJF,tmax_mean,value,super,3,0.4877,0.3190,0.4277,-0.5748,1.5502
site,fmi_100971,DJF,tmax_mean,value,elnino,20,-1.1235,-0.8160,2.9689,-2.3858,0.1448
site,fmi_100971,DJF,tmax_mean,value,neutral,29,-1.5975,-1.0240,2.3122,-2.4167,-0.7919
site,fmi_100971,DJF,tmax_mean,value,lanina,25,-1.0156,-0.4700,2.2712,-1.9057,-0.1787
site,fmi_100971,DJF,tmax_mean,anom,super,3,0.6433,0.4740,0.4279,-0.4197,1.7063
site,fmi_100971,DJF,tmax_mean,anom,elnino,20,-0.9678,-0.6600,2.9691,-2.2783,0.2807
site,fmi_100971,DJF,tmax_mean,anom,neutral,29,-1.4419,-0.8690,2.3123,-2.2553,-0.6383
site,fmi_100971,DJF,tmax_mean,anom,lanina,25,-0.8598,-0.3140,2.2712,-1.7640,0.0062
site,fmi_100971,DJF,tmax_mean,anom_dt,super,3,1.2693,0.9900,0.9919,-1.1948,3.7335
site,fmi_100971,DJF,tmax_mean,anom_dt,elnino,20,-0.0001,0.6185,2.8047,-1.1749,1.1416
site,fmi_100971,DJF,tmax_mean,anom_dt,neutral,29,-0.1960,0.3070,2.1630,-0.9681,0.5328
site,fmi_100971,DJF,tmax_mean,anom_dt,lanina,25,0.0750,0.3240,2.1485,-0.7753,0.8577
site,fmi_100971,DJF,tmean,value,super,3,-1.9250,-1.8190,0.2338,-2.5057,-1.3443
site,fmi_100971,DJF,tmean,value,elnino,20,-3.4883,-3.2760,3.2446,-4.8819,-2.1604
site,fmi_100971,DJF,tmean,value,neutral,29,-4.0759,-3.3940,2.5690,-4.9935,-3.1536
site,fmi_100971,DJF,tmean,value,lanina,25,-3.4100,-2.8770,2.5564,-4.4469,-2.4347
site,fmi_100971,DJF,tmean,anom,super,3,0.6013,0.7070,0.2341,0.0197,1.1829
site,fmi_100971,DJF,tmean,anom,elnino,20,-0.9620,-0.7495,3.2446,-2.3625,0.4143
site,fmi_100971,DJF,tmean,anom,neutral,29,-1.5495,-0.8680,2.5691,-2.4732,-0.6902
site,fmi_100971,DJF,tmean,anom,lanina,25,-0.8836,-0.3500,2.5563,-1.8542,0.0839
site,fmi_100971,DJF,tmean,anom_dt,super,3,1.2517,1.0240,0.6711,-0.4155,2.9188
site,fmi_100971,DJF,tmean,anom_dt,elnino,20,0.0497,0.6120,3.0907,-1.2766,1.3434
site,fmi_100971,DJF,tmean,anom_dt,neutral,29,-0.2441,0.0320,2.4267,-1.1105,0.6002
site,fmi_100971,DJF,tmean,anom_dt,lanina,25,0.0931,0.4650,2.4259,-0.8514,0.9851
site,fmi_100971,DJF,tmin_mean,value,super,3,-4.4247,-4.6000,0.3587,-5.3158,-3.5336
site,fmi_100971,DJF,tmin_mean,value,elnino,20,-6.1099,-5.7825,3.5286,-7.6093,-4.6044
site,fmi_100971,DJF,tmin_mean,value,neutral,29,-6.7974,-6.3270,2.9281,-7.8405,-5.7287
site,fmi_100971,DJF,tmin_mean,value,lanina,25,-5.9418,-5.5510,2.8143,-7.0659,-4.8761
site,fmi_100971,DJF,tmin_mean,anom,super,3,0.5333,0.3580,0.3587,-0.3578,1.4244
site,fmi_100971,DJF,tmin_mean,anom,elnino,20,-1.1517,-0.8245,3.5285,-2.6261,0.3352
site,fmi_100971,DJF,tmin_mean,anom,neutral,29,-1.8393,-1.3690,2.9281,-2.8575,-0.8157
site,fmi_100971,DJF,tmin_mean,anom,lanina,25,-0.9837,-0.5930,2.8143,-2.0675,0.0640
site,fmi_100971,DJF,tmin_mean,anom_dt,super,3,1.2953,1.1060,0.5252,-0.0095,2.6001
site,fmi_100971,DJF,tmin_mean,anom_dt,elnino,20,0.0379,0.4160,3.3427,-1.4245,1.4552
site,fmi_100971,DJF,tmin_mean,anom_dt,neutral,29,-0.3018,-0.2430,2.7557,-1.2803,0.6993
site,fmi_100971,DJF,tmin_mean,anom_dt,lanina,25,0.1644,0.8190,2.6352,-0.8694,1.1611
site,fmi_100971,JFM,frost_days,value,super,3,65.6667,68.0000,4.9329,53.4127,77.9206
site,fmi_100971,JFM,frost_days,value,elnino,20,71.9000,77.5000,15.9172,64.7987,78.3500
site,fmi_100971,JFM,frost_days,value,neutral,29,74.6207,78.0000,12.1197,70.2414,78.8276
site,fmi_100971,JFM,frost_days,value,lanina,25,75.9600,78.0000,12.6078,70.8800,80.5200
site,fmi_100971,JFM,frost_days,anom,super,3,-3.4333,-1.1000,4.9329,-15.6873,8.8206
site,fmi_100971,JFM,frost_days,anom,elnino,20,2.8000,8.4000,15.9172,-4.2000,9.5000
site,fmi_100971,JFM,frost_days,anom,neutral,29,5.5207,8.9000,12.1197,0.9000,9.7276
site,fmi_100971,JFM,frost_days,anom,lanina,25,6.8600,8.9000,12.6078,1.6600,11.3400
site,fmi_100971,JFM,frost_days,anom_dt,super,3,-5.1510,-5.9000,2.7472,-11.9754,1.6734
site,fmi_100971,JFM,frost_days,anom_dt,elnino,20,-1.4925,2.2020,12.6226,-6.9467,3.7104
site,fmi_100971,JFM,frost_days,anom_dt,neutral,29,-0.8657,0.6040,10.3206,-4.6157,2.7122
site,fmi_100971,JFM,frost_days,anom_dt,lanina,25,2.8163,5.7430,12.3182,-2.1705,7.1251
site,fmi_100971,JFM,ice_days,value,super,3,30.0000,31.0000,2.6458,23.4276,36.5724
site,fmi_100971,JFM,ice_days,value,elnino,20,41.7500,44.5000,20.7006,32.6000,50.2500
site,fmi_100971,JFM,ice_days,value,neutral,29,43.3103,46.0000,17.8688,36.8276,49.5871
site,fmi_100971,JFM,ice_days,value,lanina,25,41.2000,45.0000,18.9583,33.7200,48.2010
site,fmi_100971,JFM,ice_days,anom,super,3,-3.8670,-2.8670,2.6458,-10.4394,2.7054
site,fmi_100971,JFM,ice_days,anom,elnino,20,7.8830,10.6330,20.7006,-1.1182,16.4843
site,fmi_100971,JFM,ice_days,anom,neutral,29,9.4433,12.1330,17.8688,3.0640,15.6511
site,fmi_100971,JFM,ice_days,anom,lanina,25,7.3330,11.1330,18.9583,0.0530,14.5730
site,fmi_100971,JFM,ice_days,anom_dt,super,3,-7.8310,-7.1830,3.3523,-16.1586,0.4966
site,fmi_100971,JFM,ice_days,anom_dt,elnino,20,0.7877,0.2990,17.3556,-6.7623,8.0109
site,fmi_100971,JFM,ice_days,anom_dt,neutral,29,-0.1987,2.1510,16.8501,-6.0738,5.5620
site,fmi_100971,JFM,ice_days,anom_dt,lanina,25,0.5402,3.1690,17.8012,-6.4033,6.9612
site,fmi_100971,JFM,precip,value,super,3,125.1667,122.5000,14.6828,88.6927,161.6407
site,fmi_100971,JFM,precip,value,elnino,20,119.4900,126.6000,35.0831,104.3397,134.3251
site,fmi_100971,JFM,precip,value,neutral,29,118.1069,116.0000,39.1101,104.6890,132.6622
site,fmi_100971,JFM,precip,value,lanina,25,132.1560,131.3000,41.0247,116.6600,148.4841
site,fmi_100971,JFM,precip,anom,super,3,-0.3503,-3.0170,14.6828,-36.8243,36.1237
site,fmi_100971,JFM,precip,anom,elnino,20,-6.0270,1.0830,35.0831,-20.7423,8.7841
site,fmi_100971,JFM,precip,anom,neutral,29,-7.4101,-9.5170,39.1101,-20.8416,7.1113
site,fmi_100971,JFM,precip,anom,lanina,25,6.6390,5.7830,41.0247,-9.4291,22.6278
site,fmi_100971,JFM,precip,anom_dt,super,3,0.5993,-0.2280,13.4840,-32.8969,34.0956
site,fmi_100971,JFM,precip,anom_dt,elnino,20,-4.0541,2.6650,33.7058,-18.2724,10.3199
site,fmi_100971,JFM,precip,anom_dt,neutral,29,-4.6050,-4.0830,40.0633,-18.0809,10.0780
site,fmi_100971,JFM,precip,anom_dt,lanina,25,8.5131,10.6670,40.7898,-6.8548,24.3335
site,fmi_100971,JFM,precip_days,value,super,3,31.0000,32.0000,3.6056,22.0433,39.9567
site,fmi_100971,JFM,precip_days,value,elnino,20,27.4000,27.5000,6.7309,24.5000,30.2000
site,fmi_100971,JFM,precip_days,value,neutral,29,26.1379,26.0000,5.7179,24.1724,28.1733
site,fmi_100971,JFM,precip_days,value,lanina,25,27.9600,28.0000,7.3171,25.0800,30.8800
site,fmi_100971,JFM,precip_days,anom,super,3,3.0670,4.0670,3.6056,-5.8897,12.0237
site,fmi_100971,JFM,precip_days,anom,elnino,20,-0.5330,-0.4330,6.7309,-3.5830,2.2670
