level,unit,season,metric,variant,group,n,mean,median,sd,ci_lo,ci_hi
site,fmi_101572,JFM,snow_depth,value,super,3,38.7790,46.5670,13.9630,4.0930,73.4650
site,fmi_101572,JFM,snow_depth,value,elnino,18,40.6113,44.2335,16.0669,33.2443,47.4260
site,fmi_101572,JFM,snow_depth,value,neutral,24,39.2298,42.7780,16.6243,32.6541,45.6803
site,fmi_101572,JFM,snow_depth,value,lanina,22,44.5315,43.7775,12.7279,39.5230,49.6371
site,fmi_101572,JFM,snow_depth,anom,super,3,1.9987,9.7860,13.9627,-32.6866,36.6839
site,fmi_101572,JFM,snow_depth,anom,elnino,18,3.8307,7.4530,16.0669,-3.6361,10.6914
site,fmi_101572,JFM,snow_depth,anom,neutral,24,2.4493,5.9975,16.6243,-4.0580,9.1771
site,fmi_101572,JFM,snow_depth,anom,lanina,22,7.7510,6.9975,12.7280,2.6878,12.8238
site,fmi_101572,JFM,snow_depth,anom_dt,super,3,-1.4297,3.9340,11.2848,-29.4628,26.6034
site,fmi_101572,JFM,snow_depth,anom_dt,elnino,18,-0.5249,1.5395,16.2760,-7.7870,6.9100
site,fmi_101572,JFM,snow_depth,anom_dt,neutral,24,-2.9189,0.0050,15.1745,-8.7683,3.2951
site,fmi_101572,JFM,snow_depth,anom_dt,lanina,22,3.8086,3.0965,12.8096,-1.2805,8.8821
site,fmi_101572,JFM,snow_max,value,super,3,57.3333,61.0000,14.8436,20.4597,94.2070
site,fmi_101572,JFM,snow_max,value,elnino,18,59.0556,59.5000,17.2541,51.0000,66.6111
site,fmi_101572,JFM,snow_max,value,neutral,24,55.5417,58.5000,16.9089,48.7490,62.2083
site,fmi_101572,JFM,snow_max,value,lanina,22,62.4545,62.0000,15.4387,56.4091,68.9091
site,fmi_101572,JFM,snow_max,anom,super,3,2.9333,6.6000,14.8436,-33.9403,39.8070
site,fmi_101572,JFM,snow_max,anom,elnino,18,4.6556,5.1000,17.2541,-3.0667,12.3778
site,fmi_101572,JFM,snow_max,anom,neutral,24,1.1417,4.1000,16.9089,-5.4417,7.7677
site,fmi_101572,JFM,snow_max,anom,lanina,22,8.0545,7.6000,15.4387,1.6455,14.2364
site,fmi_101572,JFM,snow_max,anom_dt,super,3,-0.5710,0.6120,13.1425,-33.2188,32.0768
site,fmi_101572,JFM,snow_max,anom_dt,elnino,18,0.3750,2.6045,17.3614,-7.3067,8.3125
site,fmi_101572,JFM,snow_max,anom_dt,neutral,24,-3.9862,-1.0160,15.7983,-10.2110,2.2646
site,fmi_101572,JFM,snow_max,anom_dt,lanina,22,4.1197,6.8625,15.5333,-2.0407,10.4765
site,fmi_101572,JFM,thaw_days,value,super,3,34.6667,34.0000,4.0415,24.6271,44.7062
site,fmi_101572,JFM,thaw_days,value,elnino,18,32.4444,33.0000,15.0459,25.7222,39.1111
site,fmi_101572,JFM,thaw_days,value,neutral,24,30.0833,29.0000,13.6315,24.7083,35.3333
site,fmi_101572,JFM,thaw_days,value,lanina,22,29.8182,26.0000,13.6718,24.5455,35.5455
site,fmi_101572,JFM,thaw_days,anom,super,3,0.1997,-0.4670,4.0415,-9.8399,10.2392
site,fmi_101572,JFM,thaw_days,anom,elnino,18,-2.0226,-1.4670,15.0459,-8.8003,4.6441
site,fmi_101572,JFM,thaw_days,anom,neutral,24,-4.3837,-5.4670,13.6315,-9.7180,1.1580
site,fmi_101572,JFM,thaw_days,anom,lanina,22,-4.6488,-8.4670,13.6718,-9.8306,1.3069
site,fmi_101572,JFM,thaw_days,anom_dt,super,3,2.2357,2.8230,4.9194,-9.9847,14.4561
site,fmi_101572,JFM,thaw_days,anom_dt,elnino,18,1.3427,1.7140,12.8316,-4.4437,7.1401
site,fmi_101572,JFM,thaw_days,anom_dt,neutral,24,0.4329,-1.7465,11.3886,-3.8557,4.9924
site,fmi_101572,JFM,thaw_days,anom_dt,lanina,22,-1.8756,-4.6590,14.5996,-7.2510,4.4546
site,fmi_101572,JFM,tmax_mean,value,super,3,-3.5733,-3.5100,0.1292,-3.8943,-3.2523
site,fmi_101572,JFM,tmax_mean,value,elnino,18,-4.1560,-3.7700,3.3149,-5.6879,-2.6406
site,fmi_101572,JFM,tmax_mean,value,neutral,24,-4.0181,-4.3505,2.2856,-4.9055,-3.1520
site,fmi_101572,JFM,tmax_mean,value,lanina,22,-3.8269,-4.3440,2.5532,-4.9142,-2.8169
site,fmi_101572,JFM,tmax_mean,anom,super,3,-0.4300,-0.3670,0.1295,-0.7518,-0.1082
site,fmi_101572,JFM,tmax_mean,anom,elnino,18,-1.0125,-0.6270,3.3148,-2.5098,0.4745
site,fmi_101572,JFM,tmax_mean,anom,neutral,24,-0.8747,-1.2070,2.2855,-1.7746,0.0311
site,fmi_101572,JFM,tmax_mean,anom,lanina,22,-0.6837,-1.2005,2.5530,-1.7204,0.3360
site,fmi_101572,JFM,tmax_mean,anom_dt,super,3,0.0970,0.2330,0.9444,-2.2490,2.4430
site,fmi_101572,JFM,tmax_mean,anom_dt,elnino,18,-0.2337,0.0780,2.9929,-1.5536,1.0339
site,fmi_101572,JFM,tmax_mean,anom_dt,neutral,24,0.1790,-0.1140,1.8977,-0.5339,0.9642
site,fmi_101572,JFM,tmax_mean,anom_dt,lanina,22,-0.0171,-0.0985,2.6116,-1.1258,1.0514
site,fmi_101572,JFM,tmean,value,super,3,-7.3853,-7.3520,0.8815,-9.5750,-5.1956
site,fmi_101572,JFM,tmean,value,elnino,18,-7.8206,-7.3990,3.7650,-9.5281,-6.1990
site,fmi_101572,JFM,tmean,value,neutral,24,-7.7060,-7.7530,2.6336,-8.7096,-6.7067
site,fmi_101572,JFM,tmean,value,lanina,22,-7.4685,-7.8720,2.9012,-8.7019,-6.3163
site,fmi_101572,JFM,tmean,anom,super,3,-0.6550,-0.6220,0.8820,-2.8459,1.5359
site,fmi_101572,JFM,tmean,anom,elnino,18,-1.0899,-0.6685,3.7650,-2.8137,0.5668
site,fmi_101572,JFM,tmean,anom,neutral,24,-0.9756,-1.0220,2.6334,-1.9991,0.0781
site,fmi_101572,JFM,tmean,anom,lanina,22,-0.7380,-1.1415,2.9011,-1.9224,0.4199
site,fmi_101572,JFM,tmean,anom_dt,super,3,-0.0977,-0.2450,0.9209,-2.3853,2.1899
site,fmi_101572,JFM,tmean,anom_dt,elnino,18,-0.2356,-0.2495,3.3666,-1.7305,1.2754
site,fmi_101572,JFM,tmean,anom_dt,neutral,24,0.2038,-0.1515,2.1834,-0.6217,1.0494
site,fmi_101572,JFM,tmean,anom_dt,lanina,22,-0.0162,0.1220,2.9720,-1.2336,1.2124
site,fmi_101572,JFM,tmin_mean,value,super,3,-11.6710,-12.2600,1.8550,-16.2791,-7.0629
site,fmi_101572,JFM,tmin_mean,value,elnino,18,-12.0522,-11.3040,4.3952,-14.0263,-10.1123
site,fmi_101572,JFM,tmin_mean,value,neutral,24,-12.0287,-12.2265,3.2478,-13.2384,-10.7192
site,fmi_101572,JFM,tmin_mean,value,lanina,22,-11.5130,-11.9500,3.2673,-12.8222,-10.2018
site,fmi_101572,JFM,tmin_mean,anom,super,3,-1.0803,-1.6690,1.8545,-5.6870,3.5264
site,fmi_101572,JFM,tmin_mean,anom,elnino,18,-1.4618,-0.7140,4.3954,-3.4665,0.4795
site,fmi_101572,JFM,tmin_mean,anom,neutral,24,-1.4381,-1.6355,3.2479,-2.7266,-0.1595
site,fmi_101572,JFM,tmin_mean,anom,lanina,22,-0.9221,-1.3590,3.2672,-2.2231,0.4150
site,fmi_101572,JFM,tmin_mean,anom_dt,super,3,-0.3177,0.3550,1.2183,-3.3441,2.7088
site,fmi_101572,JFM,tmin_mean,anom_dt,elnino,18,-0.2853,-0.2950,3.7867,-2.0210,1.3846
site,fmi_101572,JFM,tmin_mean,anom_dt,neutral,24,0.1895,-0.2070,2.5870,-0.8106,1.2060
site,fmi_101572,JFM,tmin_mean,anom_dt,lanina,22,0.0700,0.1380,3.3206,-1.2541,1.3811
site,fmi_101572,NDJFM,frost_days,value,super,3,128.6667,134.0000,16.6533,87.2975,170.0358
site,fmi_101572,NDJFM,frost_days,value,elnino,18,132.6111,132.5000,10.8960,127.5556,137.2792
site,fmi_101572,NDJFM,frost_days,value,neutral,24,133.7917,134.5000,10.2278,129.6250,137.7500
site,fmi_101572,NDJFM,frost_days,value,lanina,22,135.5909,135.5000,8.0336,132.2727,138.9545
site,fmi_101572,NDJFM,frost_days,anom,super,3,-2.9003,2.4330,16.6533,-44.2695,38.4688
site,fmi_101572,NDJFM,frost_days,anom,elnino,18,1.0441,0.9330,10.8960,-3.9573,5.7122
site,fmi_101572,NDJFM,frost_days,anom,neutral,24,2.2247,2.9330,10.2278,-1.9420,5.9757
site,fmi_101572,NDJFM,frost_days,anom,lanina,22,4.0239,3.9330,8.0336,0.6603,7.2966
site,fmi_101572,NDJFM,frost_days,anom_dt,super,3,-3.9557,-1.8580,14.2954,-39.4674,31.5561
site,fmi_101572,NDJFM,frost_days,anom_dt,elnino,18,-1.0224,-1.3975,9.8691,-5.6796,3.3432
site,fmi_101572,NDJFM,frost_days,anom_dt,neutral,24,-0.9460,-0.3695,9.1115,-4.4672,2.5599
site,fmi_101572,NDJFM,frost_days,anom_dt,lanina,22,2.4078,2.7765,7.8542,-0.8630,5.6837
site,fmi_101572,NDJFM,ice_days,value,super,3,79.0000,73.0000,14.0000,44.2221,113.7779
site,fmi_101572,NDJFM,ice_days,value,elnino,18,90.6111,95.0000,22.4372,80.7778,100.6667
site,fmi_101572,NDJFM,ice_days,value,neutral,24,92.2917,97.0000,18.6838,85.0823,99.5417
site,fmi_101572,NDJFM,ice_days,value,lanina,22,91.2888,92.5000,16.2912,84.3525,97.2727
site,fmi_101572,NDJFM,ice_days,anom,super,3,-5.7000,-11.7000,14.0000,-40.4779,29.0779
site,fmi_101572,NDJFM,ice_days,anom,elnino,18,5.9111,10.3000,22.4372,-3.9792,16.0792
site,fmi_101572,NDJFM,ice_days,anom,neutral,24,7.5917,12.3000,18.6838,0.0500,14.8000
site,fmi_101572,NDJFM,ice_days,anom,lanina,22,6.5888,7.8000,16.2912,-0.3497,12.8622
site,fmi_101572,NDJFM,ice_days,anom_dt,super,3,-9.3333,-12.0160,14.4164,-45.1457,26.4791
site,fmi_101572,NDJFM,ice_days,anom_dt,elnino,18,0.1257,-0.2635,19.7752,-8.7678,9.1022
site,fmi_101572,NDJFM,ice_days,anom_dt,neutral,24,-0.5430,0.3060,14.4727,-6.3254,5.0117
site,fmi_101572,NDJFM,ice_days,anom_dt,lanina,22,1.7623,4.1475,17.1387,-5.8192,8.3498
site,fmi_101572,NDJFM,precip,value,super,3,240.4667,233.6000,11.9801,210.7064,270.2269
site,fmi_101572,NDJFM,precip,value,elnino,18,187.1667,197.0000,38.4208,169.5606,204.3056
site,fmi_101572,NDJFM,precip,value,neutral,24,190.8875,180.7000,38.6942,175.9059,206.2003
site,fmi_101572,NDJFM,precip,value,lanina,22,198.9045,200.0500,40.3471,182.2899,214.6956
site,fmi_101572,NDJFM,precip,anom,super,3,32.6997,25.8330,11.9801,2.9394,62.4599
site,fmi_101572,NDJFM,precip,anom,elnino,18,-20.6003,-10.7670,38.4208,-37.4964,-3.8059
site,fmi_101572,NDJFM,precip,anom,neutral,24,-16.8795,-27.0670,38.6942,-32.0089,-1.5041
site,fmi_101572,NDJFM,precip,anom,lanina,22,-8.8625,-7.7170,40.3471,-26.6097,7.4608
site,fmi_101572,NDJFM,precip,anom_dt,super,3,41.8830,35.5570,21.6255,-11.8376,95.6036
site,fmi_101572,NDJFM,precip,anom_dt,elnino,18,-8.2143,-10.5135,32.2572,-22.2994,6.4596
site,fmi_101572,NDJFM,precip,anom_dt,neutral,24,-0.9968,-6.9405,37.9771,-15.5244,14.3951
site,fmi_101572,NDJFM,precip,anom_dt,lanina,22,2.0968,5.5955,39.8625,-14.3477,17.7016
site,fmi_101572,NDJFM,precip_days,value,super,3,55.6667,55.0000,1.1547,52.7982,58.5351
site,fmi_101572,NDJFM,precip_days,value,elnino,18,46.7778,50.0000,8.2359,42.7778,50.2778
site,fmi_101572,NDJFM,precip_days,value,neutral,24,47.7917,46.5000,7.0339,45.0823,50.5833
site,fmi_101572,NDJFM,precip_days,value,lanina,22,48.0909,49.5000,8.2052,44.6818,51.3636
site,fmi_101572,NDJFM,precip_days,anom,super,3,6.6667,6.0000,1.1547,3.7982,9.5351
site,fmi_101572,NDJFM,precip_days,anom,elnino,18,-2.2222,1.0000,8.2359,-6.1667,1.2778
site,fmi_101572,NDJFM,precip_days,anom,neutral,24,-1.2083,-2.5000,7.0339,-4.0000,1.5000
site,fmi_101572,NDJFM,precip_days,anom,lanina,22,-0.9091,0.5000,8.2052,-4.3636,2.3636
site,fmi_101572,NDJFM,precip_days,anom_dt,super,3,7.4553,6.8290,1.7487,3.1112,11.7995
site,fmi_101572,NDJFM,precip_days,anom_dt,elnino,18,-1.2325,2.4900,8.0283,-5.0304,2.0554
site,fmi_101572,NDJFM,precip_days,anom_dt,neutral,24,0.0005,-1.2095,7.0882,-2.8172,2.7970
site,fmi_101572,NDJFM,precip_days,anom_dt,lanina,22,-0.0088,1.7710,8.2233,-3.3016,3.2742
site,fmi_101572,NDJFM,rain_on_snow_days,value,super,3,8.6667,9.0000,2.5166,2.4151,14.9183
site,fmi_101572,NDJFM,rain_on_snow_days,value,elnino,18,6.8889,6.5000,3.3235,5.3333,8.3889
site,fmi_101572,NDJFM,rain_on_snow_days,value,neutral,24,6.3074,6.5000,3.4049,4.9994,7.6148
site,fmi_101572,NDJFM,rain_on_snow_days,value,lanina,22,5.2359,5.0000,3.3987,3.9177,6.6450
site,fmi_101572,NDJFM,rain_on_snow_days,anom,super,3,1.7477,2.0810,2.5166,-4.5039,7.9993
site,fmi_101572,NDJFM,rain_on_snow_days,anom,elnino,18,-0.0301,-0.4190,3.3235,-1.5301,1.4143
site,fmi_101572,NDJFM,rain_on_snow_days,anom,neutral,24,-0.6116,-0.4190,3.4049,-1.9609,0.7115
site,fmi_101572,NDJFM,rain_on_snow_days,anom,lanina,22,-1.6830,-1.9190,3.3987,-3.0099,-0.2372
site,fmi_101572,NDJFM,rain_on_snow_days,anom_dt,super,3,2.1897,3.2150,2.2902,-3.4994,7.8787
site,fmi_101572,NDJFM,rain_on_snow_days,anom_dt,elnino,18,0.6283,0.4340,2.9907,-0.7252,1.9377
site,fmi_101572,NDJFM,rain_on_snow_days,anom_dt,neutral,24,0.2828,0.3310,3.1700,-0.9638,1.5403
site,fmi_101572,NDJFM,rain_on_snow_days,anom_dt,lanina,22,-1.1210,-1.5390,3.5562,-2.4774,0.4200
site,fmi_101572,NDJFM,snow_cover_days,value,super,3,122.0000,125.0000,14.7309,85.4064,158.5936
site,fmi_101572,NDJFM,snow_cover_days,value,elnino,18,132.7222,133.0000,12.0039,127.1667,138.2792
site,fmi_101572,NDJFM,snow_cover_days,value,neutral,24,131.9829,136.0000,16.1628,124.9156,137.3238
site,fmi_101572,NDJFM,snow_cover_days,value,lanina,22,135.8500,135.0000,8.9714,132.1364,139.5909
site,fmi_101572,NDJFM,snow_cover_days,anom,super,3,-7.0760,-4.0760,14.7309,-43.6696,29.5176
site,fmi_101572,NDJFM,snow_cover_days,anom,elnino,18,3.6462,3.9240,12.0039,-1.6871,8.9796
site,fmi_101572,NDJFM,snow_cover_days,anom,neutral,24,2.9069,6.9240,16.1628,-3.9929,8.4240
site,fmi_101572,NDJFM,snow_cover_days,anom,lanina,22,6.7740,5.9240,8.9714,3.0914,10.4104
site,fmi_101572,NDJFM,snow_cover_days,anom_dt,super,3,-9.3187,-10.8140,12.0408,-39.2298,20.5924
site,fmi_101572,NDJFM,snow_cover_days,anom_dt,elnino,18,-0.0011,-0.4590,11.0651,-4.8815,5.1888
site,fmi_101572,NDJFM,snow_cover_days,anom_dt,neutral,24,-2.2740,-0.9255,14.5197,-8.3786,2.8646
site,fmi_101572,NDJFM,snow_cover_days,anom_dt,lanina,22,3.7524,4.0285,7.7379,0.5270,6.8535
site,fmi_101572,NDJFM,snow_depth,value,super,3,25.1653,30.5700,9.5680,1.3971,48.9336
site,fmi_101572,NDJFM,snow_depth,value,elnino,18,28.7387,28.7155,11.7739,23.4513,34.1593
site,fmi_101572,NDJFM,snow_depth,value,neutral,24,28.1314,28.9405,12.7742,23.2025,33.2642
site,fmi_101572,NDJFM,snow_depth,value,lanina,22,31.4793,30.2350,9.8314,27.4702,35.3728
site,fmi_101572,NDJFM,snow_depth,anom,super,3,-0.4760,4.9280,9.5677,-24.2436,23.2916
site,fmi_101572,NDJFM,snow_depth,anom,elnino,18,3.0977,3.0745,11.7739,-2.3227,8.5819
site,fmi_101572,NDJFM,snow_depth,anom,neutral,24,2.4904,3.2995,12.7742,-2.4739,7.7014
site,fmi_101572,NDJFM,snow_depth,anom,lanina,22,5.8383,4.5940,9.8313,1.8354,9.7731
site,fmi_101572,NDJFM,snow_depth,anom_dt,super,3,-3.2190,0.0860,7.4798,-21.7998,15.3618
site,fmi_101572,NDJFM,snow_depth,anom_dt,elnino,18,-0.3763,-0.8010,11.9604,-5.9499,4.8610
site,fmi_101572,NDJFM,snow_depth,anom_dt,neutral,24,-1.7810,-1.8800,11.8250,-6.1199,2.9843
site,fmi_101572,NDJFM,snow_depth,anom_dt,lanina,22,2.6898,1.2090,9.6440,-1.0866,6.7962
site,fmi_101572,NDJFM,snow_max,value,super,3,57.3333,61.0000,14.8436,20.4597,94.2070
site,fmi_101572,NDJFM,snow_max,value,elnino,18,59.1667,59.5000,16.9853,51.1653,66.5556
site,fmi_101572,NDJFM,snow_max,value,neutral,24,55.5417,58.5000,16.9089,49.2073,62.2917
site,fmi_101572,NDJFM,snow_max,value,lanina,22,62.4545,62.0000,15.4387,56.0000,68.6364
site,fmi_101572,NDJFM,snow_max,anom,super,3,2.8663,6.5330,14.8436,-34.0073,39.7400
site,fmi_101572,NDJFM,snow_max,anom,elnino,18,4.6997,5.0330,16.9853,-3.1337,11.9219
site,fmi_101572,NDJFM,snow_max,anom,neutral,24,1.0747,4.0330,16.9089,-5.3847,7.6163
site,fmi_101572,NDJFM,snow_max,anom,lanina,22,7.9875,7.5330,15.4387,1.6694,14.2614
site,fmi_101572,NDJFM,snow_max,anom_dt,super,3,-0.6140,0.6030,13.1648,-33.3171,32.0891
site,fmi_101572,NDJFM,snow_max,anom_dt,elnino,18,0.4541,2.5480,17.1163,-7.6099,8.2071
site,fmi_101572,NDJFM,snow_max,anom_dt,neutral,24,-4.0066,-1.0645,15.8098,-10.1618,2.3310
site,fmi_101572,NDJFM,snow_max,anom_dt,lanina,22,4.0830,6.8235,15.5282,-2.0962,10.2817
site,fmi_101572,NDJFM,thaw_days,value,super,3,69.6667,73.0000,14.2945,34.1571,105.1762
site,fmi_101572,NDJFM,thaw_days,value,elnino,18,59.2222,54.0000,22.6185,48.5000,69.1667
site,fmi_101572,NDJFM,thaw_days,value,neutral,24,57.7917,53.5000,18.7825,50.7083,65.2083
site,fmi_101572,NDJFM,thaw_days,value,lanina,22,58.7109,57.5000,16.7516,52.3178,66.0585
site,fmi_101572,NDJFM,thaw_days,anom,super,3,4.3667,7.7000,14.2945,-31.1429,39.8762
site,fmi_101572,NDJFM,thaw_days,anom,elnino,18,-6.0778,-11.3000,22.6185,-16.2444,3.9222
site,fmi_101572,NDJFM,thaw_days,anom,neutral,24,-7.5083,-11.8000,18.7825,-14.6760,-0.0906
site,fmi_101572,NDJFM,thaw_days,anom,lanina,22,-6.5891,-7.8000,16.7516,-13.2091,0.5640
site,fmi_101572,NDJFM,thaw_days,anom_dt,super,3,8.0043,12.8210,13.4778,-25.4763,41.4849
site,fmi_101572,NDJFM,thaw_days,anom_dt,elnino,18,-0.2294,0.3440,19.7439,-8.8824,8.6227
site,fmi_101572,NDJFM,thaw_days,anom_dt,neutral,24,0.7533,-0.3630,14.4945,-4.9095,6.5201
site,fmi_101572,NDJFM,thaw_days,anom_dt,lanina,22,-1.7255,-4.5200,17.5909,-8.6947,5.8937
site,fmi_101572,NDJFM,tmax_mean,value,super,3,-1.9693,-1.6400,1.0159,-4.4929,0.5542
site,fmi_101572,NDJFM,tmax_mean,value,elnino,18,-3.2119,-3.2970,2.6706,-4.4427,-2.0372
site,fmi_101572,NDJFM,tmax_mean,value,neutral,24,-3.3225,-3.5335,1.9256,-4.0603,-2.5836
site,fmi_101572,NDJFM,tmax_mean,value,lanina,22,-2.8897,-2.5815,1.7406,-3.6022,-2.1850
site,fmi_101572,NDJFM,tmax_mean,anom,super,3,0.3337,0.6630,1.0159,-2.1899,2.8572
site,fmi_101572,NDJFM,tmax_mean,anom,elnino,18,-0.9086,-0.9940,2.6706,-2.1798,0.2806
site,fmi_101572,NDJFM,tmax_mean,anom,neutral,24,-1.0191,-1.2300,1.9256,-1.7517,-0.2792
site,fmi_101572,NDJFM,tmax_mean,anom,lanina,22,-0.5862,-0.2780,1.7407,-1.3271,0.1114
site,fmi_101572,NDJFM,tmax_mean,anom_dt,super,3,0.8287,0.8120,1.0991,-1.9016,3.5590
site,fmi_101572,NDJFM,tmax_mean,anom_dt,elnino,18,-0.1706,0.0730,2.4452,-1.3089,0.8786
site,fmi_101572,NDJFM,tmax_mean,anom_dt,neutral,24,-0.0155,-0.1510,1.4971,-0.5966,0.5922
site,fmi_101572,NDJFM,tmax_mean,anom_dt,lanina,22,0.0434,0.3080,1.7028,-0.6694,0.7367
site,fmi_101572,NDJFM,tmean,value,super,3,-5.0557,-4.7540,1.6967,-9.2706,-0.8407
site,fmi_101572,NDJFM,tmean,value,elnino,18,-6.3156,-6.5900,2.9975,-7.7091,-4.9699
site,fmi_101572,NDJFM,tmean,value,neutral,24,-6.5145,-6.5830,2.1832,-7.3563,-5.6527
site,fmi_101572,NDJFM,tmean,value,lanina,22,-6.0316,-5.6050,2.0722,-6.8687,-5.2124
site,fmi_101572,NDJFM,tmean,anom,super,3,0.2847,0.5870,1.6968,-3.9305,4.4998
site,fmi_101572,NDJFM,tmean,anom,elnino,18,-0.9754,-1.2495,2.9976,-2.3431,0.3467
site,fmi_101572,NDJFM,tmean,anom,neutral,24,-1.1743,-1.2430,2.1831,-2.0087,-0.3277
site,fmi_101572,NDJFM,tmean,anom,lanina,22,-0.6915,-0.2650,2.0722,-1.5455,0.1413
site,fmi_101572,NDJFM,tmean,anom_dt,super,3,0.8350,1.3780,1.5706,-3.0665,4.7365
site,fmi_101572,NDJFM,tmean,anom_dt,elnino,18,-0.1362,0.0590,2.6981,-1.3626,1.0803
site,fmi_101572,NDJFM,tmean,anom_dt,neutral,24,-0.0196,-0.2745,1.7168,-0.6777,0.6402
site,fmi_101572,NDJFM,tmean,anom_dt,lanina,22,0.0190,0.2285,1.9848,-0.7972,0.8364
site,fmi_101572,NDJFM,tmin_mean,value,super,3,-8.5047,-8.6630,2.3445,-14.3288,-2.6806
site,fmi_101572,NDJFM,tmin_mean,value,elnino,18,-9.8953,-10.0820,3.4747,-11.4293,-8.3325
site,fmi_101572,NDJFM,tmin_mean,value,neutral,24,-10.2384,-10.4930,2.6586,-11.2827,-9.1635
site,fmi_101572,NDJFM,tmin_mean,value,lanina,22,-9.5685,-9.4820,2.5148,-10.6002,-8.5668
site,fmi_101572,NDJFM,tmin_mean,anom,super,3,0.1357,-0.0230,2.3450,-5.6897,5.9610
site,fmi_101572,NDJFM,tmin_mean,anom,elnino,18,-1.2549,-1.4415,3.4746,-2.8503,0.2809
site,fmi_101572,NDJFM,tmin_mean,anom,neutral,24,-1.5980,-1.8525,2.6588,-2.5585,-0.5080
site,fmi_101572,NDJFM,tmin_mean,anom,lanina,22,-0.9279,-0.8415,2.5149,-1.9409,0.1189
site,fmi_101572,NDJFM,tmin_mean,anom_dt,super,3,0.8813,1.9570,1.8918,-3.8181,5.5807
site,fmi_101572,NDJFM,tmin_mean,anom_dt,elnino,18,-0.1239,-0.1455,3.0131,-1.4937,1.2600
site,fmi_101572,NDJFM,tmin_mean,anom_dt,neutral,24,-0.0459,-0.4010,2.0693,-0.8169,0.7872
site,fmi_101572,NDJFM,tmin_mean,anom_dt,lanina,22,0.0313,0.2265,2.2966,-0.9025,0.9755
site,fmi_101725,DJF,frost_days,value,super,3,85.0000,84.0000,2.6458,78.4276,91.5724
site,fmi_101725,DJF,frost_days,value,elnino,18,87.3333,88.5000,3.4128,85.6653,88.6667
site,fmi_101725,DJF,frost_days,value,neutral,24,87.2486,88.9945,3.6738,85.7079,88.4996
site,fmi_101725,DJF,frost_days,value,lanina,22,87.3989,88.0000,2.9459,86.1760,88.5455
site,fmi_101725,DJF,frost_days,anom,super,3,-1.3910,-2.3910,2.6458,-7.9634,5.1814
site,fmi_101725,DJF,frost_days,anom,elnino,18,0.9423,2.1090,3.4128,-0.7243,2.2757
site,fmi_101725,DJF,frost_days,anom,neutral,24,0.8575,2.6030,3.6738,-0.7248,2.1497
site,fmi_101725,DJF,frost_days,anom,lanina,22,1.0079,1.6090,2.9459,-0.1944,2.1797
site,fmi_101725,DJF,frost_days,anom_dt,super,3,-1.9000,-2.9530,1.8595,-6.5192,2.7192
site,fmi_101725,DJF,frost_days,anom_dt,elnino,18,0.1666,1.1600,3.3472,-1.4286,1.5614
site,fmi_101725,DJF,frost_days,anom_dt,neutral,24,-0.2092,1.1070,3.2379,-1.5375,0.9491
site,fmi_101725,DJF,frost_days,anom_dt,lanina,22,0.3510,1.0735,3.0516,-0.9813,1.5678
site,fmi_101725,DJF,ice_days,value,super,3,62.0000,62.0000,2.0000,57.0317,66.9683
site,fmi_101725,DJF,ice_days,value,elnino,18,70.3889,69.0000,11.7180,65.0556,75.5569
site,fmi_101725,DJF,ice_days,value,neutral,24,71.4827,74.0000,11.4891,66.8873,75.6667
site,fmi_101725,DJF,ice_days,value,lanina,22,70.8723,72.0000,9.0401,67.0256,74.4545
site,fmi_101725,DJF,ice_days,anom,super,3,-5.6260,-5.6260,2.0000,-10.5943,-0.6577
site,fmi_101725,DJF,ice_days,anom,elnino,18,2.7629,1.3740,11.7180,-2.4038,8.1518
site,fmi_101725,DJF,ice_days,anom,neutral,24,3.8567,6.3740,11.4891,-0.6679,8.2735
site,fmi_101725,DJF,ice_days,anom,lanina,22,3.2463,4.3740,9.0401,-0.5351,6.8827
site,fmi_101725,DJF,ice_days,anom_dt,super,3,-7.7330,-7.8720,0.3089,-8.5004,-6.9656
site,fmi_101725,DJF,ice_days,anom_dt,elnino,18,-0.0364,1.1595,11.5271,-5.2991,5.3033
site,fmi_101725,DJF,ice_days,anom_dt,neutral,24,0.3015,3.3900,10.3038,-3.9241,4.0802
site,fmi_101725,DJF,ice_days,anom_dt,lanina,22,0.7553,1.8670,9.6657,-3.3575,4.5969
site,fmi_101725,DJF,precip,value,super,2,91.3500,91.3500,11.9501,-16.0174,198.7174
site,fmi_101725,DJF,precip,value,elnino,10,82.1100,83.7500,18.3876,70.9898,92.6105
site,fmi_101725,DJF,precip,value,neutral,17,83.6412,79.6000,16.9280,76.3765,92.1357
site,fmi_101725,DJF,precip,value,lanina,12,90.3167,84.3500,27.8647,75.0250,105.1279
site,fmi_101725,DJF,precip,anom_dt,super,2,3.7695,3.7695,9.9469,-85.5996,93.1386
site,fmi_101725,DJF,precip,anom_dt,elnino,10,-3.2799,-2.9810,18.0097,-14.1644,7.2915
site,fmi_101725,DJF,precip,anom_dt,neutral,17,-1.5564,-8.0750,16.9243,-8.8632,6.4009
site,fmi_101725,DJF,precip,anom_dt,lanina,12,4.3099,-1.7035,28.0032,-10.3961,20.2215
site,fmi_101725,DJF,precip_days,value,super,2,28.0000,28.0000,1.4142,15.2938,40.7062
site,fmi_101725,DJF,precip_days,value,elnino,10,27.1000,28.0000,4.3321,24.6000,29.6000
